id,en_correct,zh_correct,en_char_len,zh_char_len,llama-3.1-8b_en_tokens,llama-3.1-8b_zh_tokens,llama-3.1-8b_ratio
gsm8k_test_000228,1,1,1469,485,390,310,0.7948717948717948
gsm8k_test_000231,1,1,1243,390,294,278,0.9455782312925171
gsm8k_test_000232,1,1,1003,351,251,222,0.8844621513944223
gsm8k_test_000235,1,1,1187,409,288,261,0.90625
gsm8k_test_000237,1,1,822,349,221,204,0.9230769230769231
gsm8k_test_000238,1,1,805,366,233,230,0.9871244635193133
gsm8k_test_000240,1,1,1353,488,349,236,0.6762177650429799
gsm8k_test_000246,1,1,1535,583,407,351,0.8624078624078624
gsm8k_test_000247,1,1,1206,490,311,297,0.954983922829582
gsm8k_test_000248,1,1,790,400,216,255,1.1805555555555556
gsm8k_test_000249,1,1,1479,557,400,382,0.955
gsm8k_test_000253,1,1,892,342,242,205,0.8471074380165289
gsm8k_test_000256,1,1,1240,562,341,360,1.0557184750733137
gsm8k_test_000257,1,1,1095,620,300,441,1.47
gsm8k_test_000260,1,1,1756,448,482,304,0.6307053941908713
gsm8k_test_000261,1,1,1127,478,307,300,0.9771986970684039
gsm8k_test_000265,1,1,1410,632,410,383,0.9341463414634147
gsm8k_test_000270,1,1,1122,473,328,256,0.7804878048780488
gsm8k_test_000276,1,1,1519,856,465,550,1.1827956989247312
gsm8k_test_000277,1,1,1081,475,268,275,1.0261194029850746
gsm8k_test_000280,1,1,1142,401,307,227,0.739413680781759
gsm8k_test_000281,1,1,1872,592,548,397,0.7244525547445255
gsm8k_test_000284,1,1,1628,617,418,365,0.8732057416267942
gsm8k_test_000285,1,1,626,415,175,234,1.3371428571428572
gsm8k_test_000286,1,1,1048,481,286,262,0.916083916083916
gsm8k_test_000288,1,1,1215,441,299,296,0.9899665551839465
gsm8k_test_000289,1,1,1309,602,344,378,1.0988372093023255
gsm8k_test_000291,1,1,1884,518,425,342,0.8047058823529412
gsm8k_test_000293,1,1,1377,722,375,424,1.1306666666666667
gsm8k_test_000294,1,1,1218,468,309,310,1.0032362459546926
gsm8k_test_000295,1,1,1352,538,364,371,1.0192307692307692
gsm8k_test_000297,1,1,1461,433,383,272,0.7101827676240209
gsm8k_test_000300,1,1,1011,459,248,292,1.1774193548387097
gsm8k_test_000302,1,1,942,383,253,226,0.8932806324110671
gsm8k_test_000306,1,1,1007,348,261,221,0.8467432950191571
gsm8k_test_000309,1,1,1385,419,357,279,0.7815126050420168
gsm8k_test_000311,1,1,1078,469,293,312,1.0648464163822526
gsm8k_test_000312,1,1,786,387,234,190,0.811965811965812
gsm8k_test_000316,1,1,1359,596,361,340,0.9418282548476454
gsm8k_test_000317,1,1,834,469,226,293,1.2964601769911503
gsm8k_test_000318,1,1,1092,439,301,286,0.9501661129568106
gsm8k_test_000319,1,1,1484,386,358,253,0.7067039106145251
gsm8k_test_000320,1,1,1636,430,442,268,0.6063348416289592
gsm8k_test_000321,1,1,956,325,259,194,0.749034749034749
gsm8k_test_000322,1,1,1713,547,503,355,0.705765407554672
gsm8k_test_000331,1,1,1379,776,447,470,1.051454138702461
gsm8k_test_000332,1,1,984,397,255,250,0.9803921568627451
gsm8k_test_000333,1,1,1075,720,296,403,1.3614864864864864
gsm8k_test_000335,1,1,1215,553,311,367,1.180064308681672
gsm8k_test_000337,1,1,990,481,267,260,0.9737827715355806
gsm8k_test_000343,1,1,1296,443,352,266,0.7556818181818182
gsm8k_test_000344,1,1,1141,428,313,301,0.9616613418530351
gsm8k_test_000347,1,1,988,367,259,230,0.888030888030888
gsm8k_test_000349,1,1,1014,413,273,254,0.9304029304029304
gsm8k_test_000351,1,1,1099,500,275,341,1.24
gsm8k_test_000354,1,1,1542,569,395,318,0.8050632911392405
gsm8k_test_000355,1,1,1060,407,272,273,1.0036764705882353
gsm8k_test_000360,1,1,875,355,255,210,0.8235294117647058
gsm8k_test_000362,1,1,1431,473,386,355,0.9196891191709845
gsm8k_test_000364,1,1,1438,451,359,282,0.7855153203342619
gsm8k_test_000365,1,1,711,338,195,203,1.041025641025641
gsm8k_test_000369,1,1,1968,686,518,436,0.8416988416988417
gsm8k_test_000372,1,1,1299,434,316,264,0.8354430379746836
gsm8k_test_000373,1,1,1200,580,281,316,1.1245551601423487
gsm8k_test_000374,1,1,1418,522,393,322,0.8193384223918575
gsm8k_test_000376,1,1,1166,436,295,256,0.8677966101694915
gsm8k_test_000378,1,1,1201,473,288,287,0.9965277777777778
gsm8k_test_000381,1,1,954,535,255,294,1.1529411764705881
gsm8k_test_000382,1,1,1425,550,371,313,0.8436657681940701
gsm8k_test_000384,1,1,972,466,299,286,0.9565217391304348
gsm8k_test_000385,1,1,1799,494,456,306,0.6710526315789473
gsm8k_test_000386,1,1,1041,442,285,235,0.8245614035087719
gsm8k_test_000387,1,1,660,339,188,210,1.1170212765957446
gsm8k_test_000391,1,1,1323,634,377,364,0.9655172413793104
gsm8k_test_000393,1,1,1005,531,277,299,1.0794223826714802
gsm8k_test_000396,1,1,1206,440,364,252,0.6923076923076923
gsm8k_test_000397,1,1,1026,498,264,282,1.0681818181818181
gsm8k_test_000398,1,1,1123,439,329,265,0.8054711246200608
gsm8k_test_000399,1,1,1007,505,268,246,0.917910447761194
gsm8k_test_000401,1,1,1222,387,320,229,0.715625
gsm8k_test_000408,1,1,1479,418,389,256,0.6580976863753213
gsm8k_test_000410,1,1,1454,559,440,382,0.8681818181818182
gsm8k_test_000411,1,1,1249,534,323,316,0.978328173374613
gsm8k_test_000413,1,1,1560,577,384,388,1.0104166666666667
gsm8k_test_000416,1,1,1595,734,460,477,1.0369565217391303
gsm8k_test_000418,1,1,1128,499,314,266,0.8471337579617835
gsm8k_test_000421,1,1,1209,411,327,273,0.8348623853211009
gsm8k_test_000429,1,1,833,421,235,249,1.0595744680851065
gsm8k_test_000431,1,1,1489,589,383,370,0.9660574412532638
gsm8k_test_000434,1,1,1096,680,319,423,1.3260188087774294
gsm8k_test_000435,1,1,986,370,293,221,0.7542662116040956
gsm8k_test_000436,1,1,1129,404,300,277,0.9233333333333333
gsm8k_test_000438,1,1,1385,534,379,368,0.9709762532981531
gsm8k_test_000440,1,1,1005,553,290,339,1.1689655172413793
gsm8k_test_000442,1,1,1545,512,369,291,0.7886178861788617
gsm8k_test_000444,1,1,958,400,261,231,0.8850574712643678
gsm8k_test_000445,1,1,1361,736,389,471,1.2107969151670952
gsm8k_test_000446,1,1,1359,558,362,349,0.9640883977900553
gsm8k_test_000449,1,1,1009,420,263,248,0.9429657794676806
gsm8k_test_000451,1,1,1315,513,334,317,0.9491017964071856
gsm8k_test_000452,1,1,1286,619,334,371,1.1107784431137724
gsm8k_test_000453,1,1,1171,505,351,313,0.8917378917378918
gsm8k_test_000456,1,1,1266,512,343,326,0.9504373177842566
gsm8k_test_000457,1,1,986,412,264,259,0.9810606060606061
gsm8k_test_000459,1,1,2029,636,543,476,0.8766114180478821
gsm8k_test_000463,1,1,988,361,270,215,0.7962962962962963
gsm8k_test_000465,1,1,1365,570,338,337,0.9970414201183432
gsm8k_test_000466,1,1,1726,527,436,294,0.6743119266055045
gsm8k_test_000467,1,1,1414,507,366,338,0.9234972677595629
gsm8k_test_000472,1,1,1424,561,380,373,0.9815789473684211
gsm8k_test_000473,1,1,1443,487,393,322,0.8193384223918575
gsm8k_test_000474,1,1,1192,465,298,286,0.959731543624161
gsm8k_test_000476,1,1,999,405,256,226,0.8828125
gsm8k_test_000477,1,1,1276,705,315,460,1.4603174603174602
gsm8k_test_000480,1,1,1023,457,270,274,1.0148148148148148
gsm8k_test_000485,1,1,838,429,236,248,1.0508474576271187
gsm8k_test_000488,1,1,910,371,263,230,0.8745247148288974
gsm8k_test_000489,1,1,890,410,226,223,0.9867256637168141
gsm8k_test_000491,1,1,1450,468,376,283,0.7526595744680851
gsm8k_test_000495,1,1,951,492,242,281,1.1611570247933884
gsm8k_test_000496,1,1,852,377,235,207,0.8808510638297873
gsm8k_test_000499,1,1,1440,621,366,382,1.0437158469945356
gsm8k_test_000501,1,1,1244,423,380,260,0.6842105263157895
gsm8k_test_000502,1,1,1024,481,269,290,1.0780669144981412
gsm8k_test_000503,1,1,1013,381,288,255,0.8854166666666666
gsm8k_test_000504,1,1,1243,564,336,409,1.2172619047619047
gsm8k_test_000507,1,1,953,525,259,296,1.1428571428571428
gsm8k_test_000508,1,1,1329,460,369,286,0.7750677506775068
gsm8k_test_000511,1,1,887,365,223,199,0.8923766816143498
gsm8k_test_000513,1,1,1341,500,335,265,0.7910447761194029
gsm8k_test_000514,1,1,936,513,271,306,1.1291512915129152
gsm8k_test_000517,1,1,945,431,257,250,0.9727626459143969
gsm8k_test_000518,1,1,1416,510,381,299,0.7847769028871391
gsm8k_test_000519,1,1,990,393,276,203,0.7355072463768116
gsm8k_test_000520,1,1,1767,560,531,415,0.7815442561205274
gsm8k_test_000522,1,1,1247,492,318,375,1.179245283018868
gsm8k_test_000527,1,1,1365,709,353,476,1.348441926345609
gsm8k_test_000533,1,1,1124,524,355,307,0.8647887323943662
gsm8k_test_000541,1,1,1645,659,465,429,0.9225806451612903
gsm8k_test_000543,1,1,1019,544,283,284,1.0035335689045937
gsm8k_test_000545,1,1,850,357,226,212,0.9380530973451328
gsm8k_test_000546,1,1,1104,436,286,265,0.9265734265734266
gsm8k_test_000548,1,1,976,393,246,250,1.016260162601626
gsm8k_test_000549,1,1,1260,448,325,237,0.7292307692307692
gsm8k_test_000550,1,1,1577,677,461,433,0.9392624728850325
gsm8k_test_000551,1,1,1332,435,363,262,0.721763085399449
gsm8k_test_000552,1,1,1211,560,324,311,0.9598765432098766
gsm8k_test_000553,1,1,1259,421,308,264,0.8571428571428571
gsm8k_test_000555,1,1,1185,425,302,247,0.8178807947019867
gsm8k_test_000557,1,1,1853,398,458,261,0.5698689956331878
gsm8k_test_000558,1,1,992,440,274,253,0.9233576642335767
gsm8k_test_000560,1,1,1090,376,293,253,0.863481228668942
gsm8k_test_000561,1,1,1180,436,312,292,0.9358974358974359
gsm8k_test_000565,1,1,1208,429,300,282,0.94
gsm8k_test_000566,1,1,1151,428,350,278,0.7942857142857143
gsm8k_test_000567,1,1,1692,500,461,345,0.7483731019522777
gsm8k_test_000569,1,1,984,387,235,267,1.1361702127659574
gsm8k_test_000571,1,1,805,441,235,272,1.1574468085106382
gsm8k_test_000572,1,1,1574,526,382,384,1.0052356020942408
gsm8k_test_000573,1,1,921,454,226,271,1.1991150442477876
gsm8k_test_000579,1,1,869,349,225,208,0.9244444444444444
gsm8k_test_000581,1,1,1143,467,297,268,0.9023569023569024
gsm8k_test_000583,1,1,1165,499,314,329,1.0477707006369428
gsm8k_test_000585,1,1,1595,448,424,299,0.7051886792452831
gsm8k_test_000588,1,1,1056,457,288,274,0.9513888888888888
gsm8k_test_000591,1,1,1155,516,320,357,1.115625
gsm8k_test_000594,1,1,1411,405,344,256,0.7441860465116279
gsm8k_test_000596,1,1,1374,608,364,347,0.9532967032967034
gsm8k_test_000597,1,1,1214,598,328,371,1.1310975609756098
gsm8k_test_000602,1,1,1019,486,272,284,1.0441176470588236
gsm8k_test_000604,1,1,1204,416,312,243,0.7788461538461539
gsm8k_test_000609,1,1,1522,403,419,264,0.630071599045346
gsm8k_test_000610,1,1,1182,507,312,271,0.8685897435897436
gsm8k_test_000616,1,1,838,359,222,226,1.018018018018018
gsm8k_test_000621,1,1,1066,442,264,259,0.9810606060606061
gsm8k_test_000622,1,1,1746,540,493,382,0.7748478701825557
gsm8k_test_000623,1,1,823,321,234,189,0.8076923076923077
gsm8k_test_000624,1,1,1328,319,302,201,0.6655629139072847
gsm8k_test_000625,1,1,1094,353,292,217,0.7431506849315068
gsm8k_test_000630,1,1,1531,481,399,300,0.7518796992481203
gsm8k_test_000631,1,1,1484,506,397,321,0.8085642317380353
gsm8k_test_000632,1,1,1232,458,320,317,0.990625
gsm8k_test_000633,1,1,1383,536,333,366,1.0990990990990992
gsm8k_test_000634,1,1,685,341,190,216,1.1368421052631579
gsm8k_test_000636,1,1,1210,436,288,282,0.9791666666666666
gsm8k_test_000637,1,1,996,357,290,225,0.7758620689655172
gsm8k_test_000638,1,1,1414,498,443,305,0.6884875846501128
gsm8k_test_000643,1,1,1597,561,342,349,1.0204678362573099
gsm8k_test_000644,1,1,871,424,246,252,1.024390243902439
gsm8k_test_000645,1,1,950,357,235,231,0.9829787234042553
gsm8k_test_000646,1,1,980,510,288,279,0.96875
gsm8k_test_000648,1,1,1289,470,320,297,0.928125
gsm8k_test_000650,1,1,2000,695,533,438,0.8217636022514071
gsm8k_test_000651,1,1,1823,578,473,358,0.7568710359408034
gsm8k_test_000655,1,1,846,419,226,245,1.084070796460177
gsm8k_test_000656,1,1,1219,407,297,226,0.7609427609427609
gsm8k_test_000658,1,1,1354,602,378,408,1.0793650793650793
gsm8k_test_000659,1,1,1286,565,400,410,1.025
gsm8k_test_000661,1,1,1474,586,401,412,1.027431421446384
gsm8k_test_000662,1,1,995,456,298,273,0.9161073825503355
gsm8k_test_000663,1,1,1328,527,299,295,0.9866220735785953
gsm8k_test_000664,1,1,1252,528,328,320,0.975609756097561
gsm8k_test_000665,1,1,1668,454,404,270,0.6683168316831684
gsm8k_test_000666,1,1,1306,494,395,250,0.6329113924050633
gsm8k_test_000669,1,1,971,499,260,376,1.4461538461538461
gsm8k_test_000670,1,1,1096,387,271,253,0.933579335793358
gsm8k_test_000671,1,1,1260,477,360,301,0.8361111111111111
gsm8k_test_000673,1,1,1046,450,299,251,0.8394648829431438
gsm8k_test_000686,1,1,1164,449,306,285,0.9313725490196079
gsm8k_test_000690,1,1,1281,640,354,386,1.0903954802259888
gsm8k_test_000692,1,1,1435,658,381,423,1.110236220472441
gsm8k_test_000693,1,1,1250,612,344,393,1.1424418604651163
gsm8k_test_000695,1,1,1087,423,297,254,0.8552188552188552
gsm8k_test_000696,1,1,1997,854,523,469,0.8967495219885278
gsm8k_test_000698,1,1,1332,478,388,297,0.7654639175257731
gsm8k_test_000699,1,1,1077,363,277,236,0.851985559566787
gsm8k_test_000700,1,1,1469,510,379,328,0.8654353562005277
gsm8k_test_000701,1,1,1379,554,371,375,1.0107816711590296
gsm8k_test_000702,1,1,1181,606,331,370,1.1178247734138973
gsm8k_test_000704,1,1,1114,405,297,211,0.7104377104377104
gsm8k_test_000705,1,1,941,479,254,313,1.2322834645669292
gsm8k_test_000714,1,1,1578,451,413,295,0.7142857142857143
gsm8k_test_000717,1,1,1051,368,322,225,0.6987577639751553
gsm8k_test_000718,1,1,1170,471,288,280,0.9722222222222222
gsm8k_test_000720,1,1,1033,460,256,267,1.04296875
gsm8k_test_000726,1,1,1230,755,357,422,1.1820728291316527
gsm8k_test_000728,1,1,1162,453,324,287,0.8858024691358025
gsm8k_test_000729,1,1,1500,507,448,310,0.6919642857142857
gsm8k_test_000730,1,1,1037,344,277,201,0.7256317689530686
gsm8k_test_000732,1,1,1127,503,343,281,0.8192419825072886
gsm8k_test_000734,1,1,1408,488,355,327,0.9211267605633803
gsm8k_test_000737,1,1,1412,477,372,332,0.8924731182795699
gsm8k_test_000738,1,1,1089,466,283,213,0.7526501766784452
gsm8k_test_000739,1,1,1424,513,417,356,0.8537170263788969
gsm8k_test_000741,1,1,1110,421,292,264,0.9041095890410958
gsm8k_test_000743,1,1,1082,438,295,301,1.0203389830508474
gsm8k_test_000744,1,1,1041,466,279,304,1.0896057347670252
gsm8k_test_000748,1,1,1106,469,307,252,0.8208469055374593
gsm8k_test_000750,1,1,1331,479,349,295,0.8452722063037249
gsm8k_test_000751,1,1,1300,618,363,359,0.9889807162534435
gsm8k_test_000755,1,1,1065,416,256,266,1.0390625
gsm8k_test_000756,1,1,1150,437,314,279,0.8885350318471338
gsm8k_test_000757,1,1,1339,772,336,499,1.4851190476190477
gsm8k_test_000758,1,1,771,385,207,218,1.0531400966183575
gsm8k_test_000762,1,1,1243,475,327,271,0.8287461773700305
gsm8k_test_000770,1,1,1387,542,340,354,1.0411764705882354
gsm8k_test_000772,1,1,1643,602,412,383,0.9296116504854369
gsm8k_test_000774,1,1,1067,484,283,282,0.9964664310954063
gsm8k_test_000775,1,1,1630,528,388,321,0.8273195876288659
gsm8k_test_000777,1,1,2264,823,570,457,0.8017543859649123
gsm8k_test_000784,1,1,1548,612,389,375,0.9640102827763496
gsm8k_test_000786,1,1,1448,534,348,362,1.0402298850574712
gsm8k_test_000787,1,1,1144,530,357,298,0.834733893557423
gsm8k_test_000793,1,1,1284,478,332,305,0.9186746987951807
gsm8k_test_000794,1,1,965,393,247,263,1.0647773279352226
gsm8k_test_000799,1,1,795,421,246,283,1.1504065040650406
gsm8k_test_000800,1,1,913,481,245,247,1.0081632653061225
gsm8k_test_000801,1,1,1654,463,392,292,0.7448979591836735
gsm8k_test_000804,1,1,1443,669,346,404,1.1676300578034682
gsm8k_test_000810,1,1,1474,515,362,322,0.8895027624309392
gsm8k_test_000817,1,1,1058,402,252,259,1.0277777777777777
gsm8k_test_000820,1,1,915,709,236,309,1.3093220338983051
gsm8k_test_000824,1,1,1073,626,280,277,0.9892857142857143
gsm8k_test_000826,1,1,1126,658,312,277,0.8878205128205128
gsm8k_test_000828,1,1,910,548,260,282,1.0846153846153845
gsm8k_test_000829,1,1,1671,791,428,341,0.7967289719626168
gsm8k_test_000833,1,1,1427,619,370,346,0.9351351351351351
gsm8k_test_000834,1,1,1081,350,285,202,0.7087719298245614
gsm8k_test_000836,1,1,1117,488,313,273,0.8722044728434505
gsm8k_test_000839,1,1,1252,493,308,342,1.1103896103896105
gsm8k_test_000840,1,1,1449,480,411,319,0.7761557177615572
gsm8k_test_000841,1,1,1153,511,292,268,0.9178082191780822
gsm8k_test_000842,1,1,787,338,210,194,0.9238095238095239
gsm8k_test_000843,1,1,1086,489,299,285,0.9531772575250836
gsm8k_test_000845,1,1,1477,421,371,264,0.7115902964959568
gsm8k_test_000848,1,1,1872,438,440,301,0.6840909090909091
gsm8k_test_000849,1,1,930,402,251,248,0.9880478087649402
gsm8k_test_000850,1,1,1606,470,417,299,0.7170263788968825
gsm8k_test_000851,1,1,1035,439,269,276,1.0260223048327137
gsm8k_test_000852,1,1,1252,455,328,286,0.8719512195121951
gsm8k_test_000853,1,1,1108,557,305,337,1.1049180327868853
gsm8k_test_000856,1,1,1211,479,288,305,1.0590277777777777
gsm8k_test_000857,1,1,992,497,247,312,1.263157894736842
gsm8k_test_000859,1,1,1679,480,432,325,0.7523148148148148
gsm8k_test_000860,1,1,1339,393,313,270,0.8626198083067093
gsm8k_test_000861,1,1,1297,550,338,378,1.1183431952662721
gsm8k_test_000862,1,1,1853,561,472,381,0.8072033898305084
gsm8k_test_000864,1,1,1355,414,339,267,0.7876106194690266
gsm8k_test_000865,1,1,1429,416,420,274,0.6523809523809524
gsm8k_test_000867,1,1,952,355,235,255,1.0851063829787233
gsm8k_test_000869,1,1,919,415,237,237,1.0
gsm8k_test_000871,1,1,1831,521,505,344,0.6811881188118812
gsm8k_test_000872,1,1,1590,526,427,338,0.7915690866510539
gsm8k_test_000873,1,1,1024,394,276,237,0.8586956521739131
gsm8k_test_000874,1,1,1112,437,282,258,0.9148936170212766
gsm8k_test_000878,1,1,1543,548,401,316,0.7880299251870324
gsm8k_test_000879,1,1,1089,457,334,283,0.8473053892215568
gsm8k_test_000880,1,1,1527,2785,387,1805,4.664082687338501
gsm8k_test_000883,1,1,1309,573,351,362,1.0313390313390314
gsm8k_test_000884,1,1,951,425,259,226,0.8725868725868726
gsm8k_test_000886,1,1,1175,436,297,281,0.9461279461279462
gsm8k_test_000889,1,1,1428,409,375,295,0.7866666666666666
gsm8k_test_000893,1,1,1164,459,316,266,0.8417721518987342
gsm8k_test_000895,1,1,1123,488,308,225,0.7305194805194806
gsm8k_test_000896,1,1,997,417,260,238,0.9153846153846154
gsm8k_test_000898,1,1,1263,507,365,306,0.8383561643835616
gsm8k_test_000899,1,1,945,470,239,301,1.2594142259414225
gsm8k_test_000905,1,1,1005,532,270,310,1.1481481481481481
gsm8k_test_000906,1,1,1073,533,312,364,1.1666666666666667
gsm8k_test_000907,1,1,833,383,217,198,0.9124423963133641
gsm8k_test_000909,1,1,1100,613,334,330,0.9880239520958084
gsm8k_test_000913,1,1,1456,440,382,302,0.7905759162303665
gsm8k_test_000914,1,1,918,419,247,249,1.008097165991903
gsm8k_test_000915,1,1,1282,444,332,249,0.75
gsm8k_test_000916,1,1,1654,675,442,468,1.0588235294117647
gsm8k_test_000918,1,1,1063,438,264,278,1.053030303030303
gsm8k_test_000919,1,1,1339,589,377,388,1.0291777188328912
gsm8k_test_000920,1,1,1288,487,393,333,0.8473282442748091
gsm8k_test_000924,1,1,1542,541,410,386,0.9414634146341463
