id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens
198,2549,1,2009,1,2365,1,2080,1,1038,1095,980,829
199,734,1,294,1,477,1,668,1,326,179,247,299
200,869,1,484,1,828,1,779,1,334,216,349,308
201,1667,1,1404,1,2965,1,2617,1,693,783,1156,1035
202,7669,1,1522,1,4231,1,6313,1,2656,725,1542,2305
203,2601,1,2111,1,3452,1,4051,1,860,1202,1145,1349
204,875,1,444,1,698,1,575,1,372,240,341,263
205,1595,1,1172,1,2199,1,2143,1,526,703,830,686
206,727,1,227,1,797,1,1070,1,211,132,236,280
207,1662,1,1490,1,1523,1,1579,1,721,849,689,731
208,1104,1,686,1,2118,1,2269,1,473,391,942,959
209,5623,1,4640,1,5987,1,2635,1,2614,2314,2609,1074
210,1455,1,1388,1,1369,1,1425,1,634,722,634,630
211,1526,1,834,1,1739,1,1719,1,619,476,718,700
214,1572,1,919,1,1991,1,1533,1,661,500,850,609
215,778,1,431,1,834,1,890,1,304,235,322,321
216,1648,1,1186,1,3031,1,1926,1,628,635,990,661
218,1709,1,1342,1,2266,1,1652,1,704,712,936,668
219,793,1,688,1,699,1,754,1,305,374,284,289
22,5622,1,3196,1,6047,1,5063,1,2043,2174,2100,1910
220,2093,1,1029,1,2332,1,2913,1,684,578,901,905
221,1397,1,1146,1,1196,1,1563,1,600,599,520,661
222,1053,1,635,1,1107,1,1147,1,320,366,362,350
223,1103,1,579,1,983,1,1113,1,453,340,390,460
224,674,1,158,1,676,1,649,1,262,88,244,253
225,400,1,261,1,356,1,316,1,154,146,142,134
226,836,1,522,1,828,1,1053,1,302,276,305,370
227,671,1,260,1,568,1,666,1,281,161,239,271
228,808,1,173,1,465,1,1090,1,397,93,181,505
229,891,1,594,1,1042,1,1086,1,299,335,359,351
23,3948,1,2289,1,4538,1,6321,1,1659,1188,1819,2450
230,899,1,481,1,775,1,917,1,291,251,250,289
231,1211,1,1279,1,1051,1,1191,1,479,650,397,462
232,1962,1,1102,1,1773,1,1810,1,770,550,705,718
233,868,1,626,1,545,1,671,1,298,340,219,255
234,322,1,247,1,363,1,344,1,165,153,182,170
235,3011,1,1290,1,1664,1,2027,1,1048,652,596,750
236,1110,1,352,1,705,1,827,1,477,204,291,311
238,1689,1,1219,1,1626,1,1303,1,686,714,666,548
239,764,1,481,1,758,1,744,1,270,222,280,271
24,2446,1,2003,1,2440,1,3034,1,1093,1010,1106,1429
240,6124,1,3418,1,6636,1,4908,1,2946,2191,3112,2173
241,2112,1,1220,1,2003,1,2165,1,737,609,723,770
242,2725,1,2272,1,2818,1,2810,1,1067,986,1066,1099
243,1589,1,1075,1,1523,1,1066,1,624,526,597,383
244,1482,1,989,1,1364,1,1350,1,693,582,652,667
245,1305,1,927,1,1144,1,1446,1,485,538,443,570
246,3441,1,2931,1,2742,1,3179,1,1686,1618,1325,1544
247,2014,1,1141,1,1479,1,2713,1,689,650,575,1007
249,1652,1,830,1,1493,1,1539,1,625,451,617,609
250,1036,1,777,1,1525,1,1031,1,345,413,525,353
252,3368,1,2819,1,3952,1,3806,1,1162,1359,1458,1426
253,5221,1,3679,1,10283,1,7988,1,2026,1765,3495,3057
254,1420,1,920,1,1487,1,1364,1,668,535,684,627
256,4435,1,2535,1,3880,1,4116,1,1693,1486,1570,1435
257,1093,1,813,1,1125,1,1390,1,406,400,426,501
258,1961,1,1046,1,1703,1,1977,1,918,628,711,928
259,1683,1,1136,1,1614,1,1752,1,635,606,621,676
26,3087,1,2096,1,2871,1,2430,1,1276,1104,1105,1002
260,1340,1,1251,1,1402,1,1440,1,620,681,643,688
261,1889,1,1377,1,3200,1,1793,1,703,754,1210,666
262,550,1,401,1,540,1,707,1,213,194,232,263
263,776,1,400,1,789,1,884,1,275,210,316,300
264,479,1,331,1,449,1,462,1,210,183,213,204
266,874,1,751,1,797,1,1045,1,339,370,329,398
267,2810,1,3170,1,3838,1,4716,1,1336,1881,1724,2352
268,2920,1,4043,1,5845,1,3422,1,1136,2227,2086,1280
269,716,1,346,1,654,1,654,1,269,189,220,225
270,2123,1,1224,1,1460,1,1817,1,821,679,565,686
271,4569,1,1868,1,4044,1,5157,1,1818,1049,1699,2146
272,1626,1,1488,1,1923,1,1614,1,725,841,849,690
273,932,1,705,1,981,1,787,1,440,365,472,379
274,2296,1,1334,1,1850,1,1618,1,1057,804,850,728
275,535,1,307,1,713,1,459,1,210,149,299,187
276,764,1,502,1,979,1,982,1,294,271,397,360
278,705,1,531,1,746,1,783,1,287,284,317,308
279,1051,1,663,1,1007,1,983,1,414,360,412,413
280,480,1,491,1,434,1,516,1,206,269,191,222
281,969,1,788,1,1368,1,1315,1,405,452,580,561
282,790,1,425,1,878,1,905,1,313,219,344,360
283,2278,1,4231,1,3388,1,2318,1,577,2793,965,610
284,808,1,456,1,776,1,884,1,312,292,307,362
285,1610,1,403,1,1622,1,1378,1,518,222,513,438
286,1286,1,692,1,1219,1,1322,1,452,361,427,494
287,3872,1,2675,1,3462,1,3948,1,1867,1542,1668,1906
288,1670,1,1227,1,1303,1,1386,1,640,684,539,541
289,4286,1,1458,1,2286,1,1984,1,2224,839,1137,942
290,762,1,393,1,704,1,744,1,280,216,297,270
291,3948,1,2941,1,4303,1,3428,1,1576,1615,1598,1235
292,976,1,842,1,1627,1,910,1,365,445,684,353
293,824,1,400,1,678,1,587,1,362,221,294,237
294,1737,1,905,1,1231,1,1856,1,599,416,449,616
295,2175,1,636,1,2495,1,5830,1,731,372,778,2053
296,495,1,512,1,469,1,447,1,195,228,186,175
297,6551,1,4455,1,6210,1,4851,1,2656,2638,2729,2070
298,283,1,157,1,318,1,340,1,112,78,114,116
299,1179,1,832,1,1312,1,1871,1,523,454,593,852
30,2175,1,1792,1,2112,1,1906,1,923,953,921,778
300,2428,1,2274,1,3125,1,3085,1,954,1331,1182,1241
301,1127,1,790,1,994,1,957,1,436,486,389,369
302,1676,1,1135,1,2012,1,1865,1,596,583,731,733
303,895,1,667,1,810,1,835,1,308,338,289,302
304,1004,1,710,1,821,1,894,1,414,413,356,347
305,501,1,275,1,473,1,505,1,236,156,223,234
306,2628,1,1111,1,1505,1,2847,1,1042,593,628,1135
307,2920,1,1738,1,1539,1,3212,1,1208,1017,696,1302
308,606,1,382,1,622,1,660,1,262,192,254,257
309,5571,1,1413,1,4855,1,4260,1,1998,809,1535,1411
310,406,1,337,1,458,1,429,1,210,202,230,216
312,848,1,321,1,882,1,647,1,321,194,319,243
313,939,1,568,1,1107,1,820,1,270,316,337,240
314,466,1,243,1,413,1,401,1,163,130,161,138
315,677,1,496,1,700,1,758,1,270,270,281,300
316,1603,1,964,1,1500,1,1465,1,591,556,574,512
317,566,1,139,1,677,1,917,1,181,90,186,243
318,3216,1,2494,1,3991,1,7132,1,1499,1529,1577,2932
319,907,1,518,1,956,1,958,1,368,286,403,398
320,2195,1,1256,1,1847,1,1549,1,928,685,812,679
321,726,1,333,1,750,1,740,1,300,188,302,304
323,2243,1,1446,1,2033,1,2023,1,907,760,823,813
324,936,1,569,1,796,1,922,1,352,276,305,357
325,708,1,227,1,720,1,747,1,235,127,304,258
326,2114,1,1981,1,3259,1,3723,1,925,1070,1428,1650
327,1283,1,986,1,1260,1,1417,1,537,511,532,637
328,8009,1,4438,1,3859,1,4213,1,3870,2499,1901,1999
329,1413,1,832,1,1309,1,1551,1,502,418,462,535
33,3350,1,3122,1,3461,1,5028,1,1326,1745,1378,2072
330,2372,1,1664,1,2500,1,2403,1,949,894,979,990
331,1102,1,931,1,1171,1,1268,1,442,459,510,512
332,1061,1,778,1,1382,1,904,1,342,415,423,276
333,693,1,418,1,709,1,731,1,362,263,351,366
334,518,1,286,1,576,1,718,1,168,156,185,230
335,534,1,403,1,517,1,518,1,241,223,233,225
336,588,1,402,1,715,1,633,1,210,212,267,228
337,6087,1,4457,1,6530,1,7742,1,2256,2482,2529,2847
338,1489,1,1264,1,1576,1,1823,1,598,567,636,773
339,804,1,570,1,815,1,643,1,314,320,300,239
340,1144,1,1053,1,1406,1,1137,1,504,524,574,499
341,548,1,374,1,489,1,611,1,248,204,220,274
342,1800,1,1673,1,2386,1,2177,1,650,875,825,802
343,1018,1,933,1,1024,1,1652,1,384,513,401,611
344,956,1,533,1,1229,1,1157,1,284,264,387,388
345,508,1,155,1,564,1,649,1,183,98,201,226
346,274,1,57,1,237,1,229,1,95,35,84,88
347,2893,1,1040,1,3070,1,2030,1,905,572,990,628
348,1266,1,897,1,1088,1,1161,1,530,461,458,499
349,1570,1,1316,1,2440,1,2604,1,496,769,678,715
35,3181,1,1618,1,2659,1,2724,1,1104,856,972,960
350,890,1,439,1,706,1,999,1,270,242,253,314
351,2194,1,1118,1,1729,1,1422,1,918,617,749,594
352,1082,1,696,1,1070,1,1803,1,402,374,397,611
353,1061,1,609,1,1265,1,1059,1,385,322,467,420
354,946,1,222,1,645,1,705,1,361,111,238,263
355,3938,1,1098,1,5511,1,3123,1,1680,611,2450,1332
356,566,1,201,1,584,1,540,1,212,101,205,185
357,1576,1,1075,1,1370,1,2140,1,739,686,584,1006
358,950,1,783,1,1023,1,1243,1,395,404,434,512
359,4116,1,3887,1,4858,1,5502,1,1686,2113,2103,2161
360,1024,1,629,1,1012,1,1116,1,325,350,327,358
361,2922,1,1335,1,3051,1,1796,1,1167,733,1160,712
362,1701,1,626,1,1785,1,1450,1,600,332,589,503
363,2251,1,1111,1,3131,1,1853,1,861,549,1222,682
364,1986,1,991,1,1960,1,1929,1,692,562,671,678
365,4825,1,1920,1,2901,1,2433,1,2235,1008,1400,1136
366,6296,1,3328,1,4854,1,4641,1,2302,1791,1948,1667
367,7190,1,1238,1,1722,1,1488,1,1767,706,455,381
368,940,1,206,1,818,1,586,1,451,108,357,205
369,2061,1,1472,1,1708,1,2161,1,856,794,674,883
37,3494,1,2979,1,3722,1,3589,1,1369,1620,1439,1409
371,1709,1,792,1,1609,1,1705,1,484,439,554,570
372,1092,1,1084,1,1663,1,899,1,496,576,723,407
4,6808,1,5464,1,8298,1,6897,1,3000,2961,3515,2860
63,602,1,521,1,841,1,622,1,250,319,391,253
64,1852,1,251,1,895,1,1006,1,495,140,260,268
65,1500,1,999,1,1813,1,1515,1,499,572,676,540
67,4036,1,1834,1,3523,1,3318,1,1324,1229,1271,1026
68,2061,1,1277,1,2402,1,2218,1,843,752,985,843
69,564,1,342,1,569,1,1174,1,196,168,213,372
7,6493,1,4116,1,1939,1,2527,1,3044,2286,812,1049
70,806,1,850,1,886,1,866,1,296,456,352,326
72,7196,1,2496,1,3220,1,5507,1,3007,1451,1286,2122
73,4582,1,2976,1,3283,1,3859,1,2001,1633,1482,1751
74,1717,1,2972,1,2001,1,5620,1,678,1609,769,1889
75,2385,1,978,1,1763,1,2040,1,974,563,711,787
76,6320,1,1820,1,6073,1,4933,1,1835,1185,1876,1576
77,706,1,407,1,775,1,709,1,239,232,258,237
78,745,1,476,1,940,1,1791,1,237,277,300,478
79,2047,1,2062,1,1177,1,1199,1,554,1254,351,351
8,4772,1,3886,1,6955,1,5279,1,2066,2344,2634,1993
80,1115,1,1176,1,1473,1,1344,1,476,587,621,550
81,954,1,515,1,896,1,904,1,428,279,381,393
83,482,1,272,1,649,1,473,1,167,149,217,207
84,944,1,565,1,884,1,1191,1,389,298,375,485
85,704,1,362,1,670,1,731,1,225,196,215,222
86,3140,1,2800,1,4268,1,4884,1,1256,1329,1841,1856
87,527,1,352,1,535,1,637,1,227,208,236,252
88,736,1,707,1,870,1,823,1,237,336,286,272
89,3621,1,2142,1,2984,1,2798,1,1545,1179,1214,1165
9,2305,1,1623,1,2645,1,2823,1,790,856,914,1025
90,1017,1,597,1,1065,1,987,1,359,362,411,361
91,577,1,294,1,588,1,581,1,244,171,242,294
92,2137,1,1412,1,2284,1,2161,1,832,781,827,769
93,643,1,418,1,674,1,666,1,299,239,294,300
94,1646,1,760,1,1464,1,1412,1,616,426,545,567
95,279,1,515,1,416,1,854,1,132,297,203,307
96,534,1,346,1,526,1,563,1,249,187,238,264
97,369,1,255,1,411,1,311,1,178,133,189,138
98,780,1,624,1,844,1,772,1,292,332,300,283
99,2899,1,1884,1,2577,1,2095,1,1219,1095,1083,821
