id,en_char_len,en_correct,zh_char_len,zh_correct,es_char_len,es_correct,th_char_len,th_correct,deepseek-v3_en_tokens,deepseek-v3_zh_tokens,deepseek-v3_es_tokens,deepseek-v3_th_tokens
167,488,1,438,1,468,1,479,1,209,266,224,260
168,1325,1,1382,1,1672,1,1657,1,561,818,784,767
169,564,1,360,1,533,1,387,1,185,206,188,198
170,1513,1,929,1,1422,1,1393,1,638,554,614,645
171,173,1,284,1,196,1,225,1,63,139,73,110
173,307,1,262,1,468,1,313,1,102,133,156,126
174,1097,1,1001,1,1007,1,932,1,440,507,408,437
175,188,1,159,1,173,1,293,1,72,100,82,125
176,460,1,446,1,927,1,494,1,187,280,363,245
177,459,1,344,1,574,1,454,1,198,211,223,256
180,345,1,248,1,266,1,169,1,140,150,110,100
181,823,1,760,1,460,1,622,1,287,396,191,298
182,2560,1,8154,1,628,1,1070,1,1123,4728,208,450
184,298,1,388,1,414,1,233,1,109,198,174,98
185,1232,1,1631,1,1651,1,1497,1,587,953,740,692
186,369,1,209,1,348,1,299,1,132,123,145,150
187,206,1,629,1,607,1,333,1,97,299,272,186
189,606,1,712,1,651,1,688,1,304,427,319,358
191,322,1,176,1,428,1,277,1,92,107,137,107
192,474,1,275,1,484,1,394,1,162,169,178,190
193,810,1,839,1,793,1,303,1,390,439,363,145
195,309,1,356,1,448,1,566,1,153,245,210,319
196,573,1,339,1,443,1,448,1,202,201,177,220
199,309,1,279,1,361,1,324,1,157,181,176,180
200,380,1,484,1,776,1,627,1,161,222,302,263
201,844,1,1715,1,1253,1,618,1,371,943,555,301
204,457,1,519,1,502,1,369,1,226,356,246,229
205,385,1,396,1,640,1,401,1,108,236,239,187
206,229,1,196,1,255,1,7,1,60,111,77,3
207,919,1,715,1,841,1,759,1,415,406,361,372
208,631,1,642,1,771,1,509,1,297,387,315,257
210,611,1,816,1,627,1,706,1,290,463,309,358
211,952,1,815,1,1153,1,586,1,382,510,488,272
214,1076,1,809,1,1038,1,947,1,518,464,489,482
215,255,1,253,1,525,1,355,1,101,139,189,141
216,933,1,1105,1,1084,1,1089,1,394,576,443,472
217,241,1,217,1,231,1,6,1,90,125,70,3
218,1769,1,986,1,1438,1,1235,1,733,531,639,580
219,660,1,493,1,594,1,497,1,276,272,250,242
221,782,1,673,1,1109,1,714,1,344,359,487,361
222,516,1,466,1,688,1,7,1,154,273,254,3
223,869,1,320,1,759,1,685,1,342,203,327,332
224,428,1,318,1,157,1,180,1,161,175,67,88
225,205,1,297,1,181,1,169,1,94,158,84,83
226,372,1,587,1,535,1,324,1,139,296,217,156
227,194,1,240,1,340,1,263,1,87,147,154,130
228,374,1,186,1,304,1,166,1,147,112,124,82
229,348,1,448,1,269,1,223,1,106,272,94,102
230,287,1,369,1,341,1,358,1,117,204,137,199
231,740,1,559,1,698,1,830,1,289,307,263,379
232,651,1,704,1,819,1,737,1,289,366,327,319
233,226,1,641,1,335,1,327,1,109,330,138,156
234,168,1,289,1,181,1,232,1,94,174,101,134
236,415,1,374,1,537,1,243,1,187,225,242,125
239,426,1,408,1,489,1,538,1,165,192,190,230
241,966,1,671,1,1161,1,891,1,333,339,413,413
242,2027,1,1882,1,2070,1,2014,1,771,873,822,879
243,1187,1,1791,1,1339,1,1143,1,413,940,558,539
244,1725,1,1140,1,942,1,782,1,786,685,461,425
245,561,1,420,1,417,1,7,1,201,252,184,3
247,1344,1,801,1,1201,1,1420,1,458,499,511,613
250,430,1,403,1,577,1,589,1,159,247,222,277
251,396,1,393,1,507,1,165,1,100,247,143,68
252,1110,1,1411,1,1699,1,551,1,393,751,552,229
254,952,1,852,1,1086,1,803,1,446,529,498,393
256,544,1,1050,1,1301,1,981,1,209,586,483,451
257,647,1,771,1,709,1,648,1,262,369,282,293
258,783,1,526,1,888,1,904,1,389,318,415,462
259,765,1,536,1,1132,1,850,1,309,307,468,375
260,700,1,728,1,584,1,593,1,348,420,299,307
261,911,1,1873,1,1551,1,1138,1,342,1010,604,562
262,524,1,208,1,341,1,254,1,205,110,146,117
263,417,1,298,1,456,1,467,1,172,168,198,222
264,204,1,303,1,248,1,271,1,113,177,126,156
266,325,1,314,1,402,1,368,1,146,156,177,168
268,1933,1,2183,1,2029,1,1386,1,618,1080,648,561
269,208,1,262,1,492,1,237,1,65,134,171,114
270,348,1,771,1,456,1,800,1,125,425,162,443
273,461,1,520,1,549,1,574,1,204,282,242,281
274,620,1,1519,1,866,1,730,1,352,856,432,395
275,233,1,228,1,300,1,257,1,107,120,132,123
276,788,1,512,1,609,1,1093,1,308,294,244,491
277,369,1,391,1,583,1,532,1,141,227,242,244
278,406,1,292,1,532,1,341,1,161,146,200,158
279,242,1,369,1,210,1,368,1,111,217,100,171
280,251,1,344,1,328,1,314,1,127,202,158,177
281,935,1,595,1,816,1,733,1,439,338,375,384
282,455,1,407,1,398,1,392,1,186,199,176,182
284,516,1,526,1,707,1,443,1,187,337,265,208
285,470,1,613,1,884,1,651,1,133,373,277,261
286,474,1,363,1,788,1,501,1,189,196,300,243
289,1084,1,1916,1,1792,1,1206,1,563,1101,942,728
290,288,1,214,1,389,1,377,1,121,127,153,171
292,679,1,568,1,478,1,656,1,283,311,193,333
293,415,1,328,1,322,1,380,1,166,187,135,197
294,432,1,372,1,523,1,607,1,144,205,186,243
296,120,1,395,1,482,1,201,1,48,199,183,89
298,156,1,216,1,180,1,168,1,67,120,78,73
299,855,1,626,1,713,1,640,1,391,348,322,329
30,730,1,921,1,745,1,698,1,297,513,311,331
300,1551,1,1549,1,1666,1,1684,1,527,796,622,693
301,569,1,694,1,934,1,1083,1,276,452,345,422
304,380,1,228,1,695,1,348,1,195,151,296,176
305,338,1,357,1,350,1,221,1,175,216,164,134
306,1214,1,1491,1,1143,1,1299,1,588,822,566,644
307,1659,1,1496,1,1683,1,1419,1,773,894,767,745
308,511,1,367,1,296,1,209,1,216,204,145,109
310,303,1,217,1,312,1,268,1,138,136,145,149
311,903,1,662,1,765,1,760,1,405,347,309,347
312,531,1,310,1,444,1,464,1,175,199,188,218
313,466,1,340,1,336,1,269,1,136,193,97,128
314,243,1,320,1,299,1,136,1,93,166,109,63
315,332,1,782,1,393,1,309,1,160,405,176,154
316,702,1,551,1,698,1,457,1,249,318,242,218
317,202,1,160,1,258,1,207,1,61,102,90,91
318,1649,1,1198,1,2832,1,1912,1,774,688,1274,942
319,677,1,690,1,866,1,604,1,303,405,369,311
320,608,1,1237,1,1434,1,1167,1,357,680,684,567
321,303,1,322,1,369,1,320,1,119,187,158,173
323,1396,1,1711,1,1162,1,1199,1,611,894,517,551
324,408,1,561,1,457,1,369,1,155,273,181,156
325,421,1,226,1,347,1,330,1,154,139,146,161
327,657,1,614,1,763,1,594,1,279,328,320,285
329,686,1,666,1,637,1,1715,1,248,354,251,771
330,1525,1,1060,1,1226,1,1039,1,587,559,507,475
331,531,1,972,1,1408,1,1592,1,229,411,524,617
332,168,1,125,1,466,1,436,1,49,60,153,190
333,421,1,431,1,380,1,385,1,201,274,193,235
334,284,1,318,1,754,1,202,1,111,178,276,92
335,354,1,371,1,315,1,278,1,164,214,151,153
336,551,1,197,1,347,1,274,1,193,119,112,139
338,860,1,847,1,915,1,825,1,374,367,381,386
339,423,1,337,1,742,1,446,1,166,212,284,195
340,972,1,799,1,866,1,788,1,404,411,371,368
341,412,1,342,1,383,1,248,1,198,201,196,151
342,1154,1,857,1,759,1,1062,1,410,464,314,484
343,591,1,1040,1,587,1,1032,1,222,571,228,453
344,679,1,511,1,499,1,356,1,230,273,172,142
345,251,1,260,1,421,1,213,1,95,151,145,96
346,180,1,50,1,174,1,73,1,57,32,67,35
349,346,1,473,1,623,1,7,1,132,270,228,3
350,227,1,190,1,301,1,262,1,84,112,113,118
351,1270,1,1031,1,1681,1,1336,1,557,578,781,684
352,352,1,418,1,420,1,504,1,121,268,140,200
353,499,1,210,1,295,1,369,1,171,132,127,176
354,396,1,350,1,465,1,367,1,156,189,182,161
356,131,1,450,1,502,1,358,1,56,233,163,150
358,717,1,903,1,800,1,560,1,320,491,372,281
360,395,1,325,1,412,1,322,1,132,178,151,156
361,425,1,573,1,663,1,1172,1,171,374,258,546
362,725,1,499,1,670,1,461,1,234,308,217,194
363,885,1,1049,1,1125,1,1402,1,395,508,456,614
365,2232,1,1203,1,1463,1,1332,1,990,679,663,701
368,227,1,868,1,472,1,161,1,93,510,197,78
369,673,1,642,1,994,1,1318,1,298,345,410,604
371,394,1,512,1,569,1,367,1,131,300,201,178
372,825,1,773,1,865,1,613,1,407,405,415,313
63,273,1,315,1,634,1,259,1,118,190,259,133
64,319,1,205,1,363,1,294,1,85,122,120,120
65,695,1,499,1,561,1,490,1,243,299,221,228
67,776,1,1072,1,2179,1,885,1,255,725,780,395
68,897,1,989,1,1035,1,488,1,407,566,435,227
69,6,1,199,1,303,1,6,1,3,104,125,3
7,3406,1,976,1,1113,1,960,1,1461,533,457,434
70,292,1,231,1,248,1,494,1,128,133,110,191
72,777,1,1182,1,2548,1,1040,1,348,744,1093,497
73,1452,1,2296,1,2347,1,1672,1,706,1309,1119,844
77,296,1,500,1,280,1,470,1,125,281,118,232
79,474,1,506,1,747,1,456,1,135,284,239,125
80,690,1,629,1,1095,1,687,1,333,345,485,342
81,407,1,478,1,392,1,431,1,189,283,185,227
83,203,1,269,1,300,1,155,1,82,147,115,66
84,689,1,530,1,725,1,478,1,274,288,329,227
85,223,1,208,1,318,1,265,1,72,117,120,120
86,1474,1,1451,1,2715,1,1579,1,513,762,1039,742
87,222,1,203,1,265,1,195,1,99,126,112,102
88,569,1,290,1,279,1,228,1,201,140,103,96
89,1480,1,1691,1,562,1,928,1,604,864,236,447
90,775,1,555,1,616,1,448,1,240,339,240,213
91,361,1,176,1,357,1,486,1,140,109,145,253
92,1073,1,931,1,1808,1,903,1,423,552,764,324
93,332,1,401,1,399,1,318,1,159,247,214,187
94,277,1,642,1,185,1,497,1,110,332,72,274
95,268,1,388,1,201,1,229,1,100,227,79,101
96,259,1,253,1,269,1,315,1,128,156,137,172
97,231,1,271,1,275,1,614,1,116,147,124,299
98,450,1,451,1,480,1,492,1,178,258,193,188
99,905,1,570,1,635,1,710,1,429,326,316,358
